Data,Categoria,Subcategoria
09/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
08/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
08/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
08/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
08/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
09/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
09/12/2024,AMEAÇA,AMEAÇA
09/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
09/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
09/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
09/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
09/12/2024,ACIDENTE DE TRÂNSITO SEM VÍTIMA,ACIDENTE DE TRÂNSITO SEM VÍTIMA
09/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
09/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
09/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
09/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
09/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
09/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
09/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
09/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
09/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
09/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
09/12/2024,APOIO OU REFORÇO,APOIO OU REFORÇO
10/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
10/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
10/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
10/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
10/12/2024,ATO OBSCENO,ATO OBSCENO
10/12/2024,PERDA OU EXTRAVIO DE DOCUMENTO OU OBJETO DIVERSOS,PERDA OU EXTRAVIO DE DOCUMENTO OU OBJETO DIVERSOS
10/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
10/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
10/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
10/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
10/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
10/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
10/12/2024,VIAS DE FATO,VIAS DE FATO
10/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
10/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
10/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
10/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
10/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
10/12/2024,BUSCA DE PERTENCE VIOLÊNCIA DOMÉSTICA,BUSCA DE PERTENCE VIOLÊNCIA DOMÉSTICA
10/12/2024,DESACATO,DESACATO
10/12/2024,ADULTERAÇÃO DE SINAL IDENTIFICADOR DE VEÍCULO AUTOMOTOR,ADULTERAÇÃO DE SINAL IDENTIFICADOR DE VEÍCULO AUTOMOTOR
10/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
10/12/2024,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA
10/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
10/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
11/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
11/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
11/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
11/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
11/12/2024,CORRUPÇÃO OU POLUIÇÃO DE ÁGUA POTÁVEL,CORRUPÇÃO OU POLUIÇÃO DE ÁGUA POTÁVEL
11/12/2024,COMUNICAÇÃO DE CRIME AMBIENTAL,COMUNICAÇÃO DE CRIME AMBIENTAL
11/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
11/12/2024,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO
11/12/2024,APOIO OU REFORÇO,APOIO OU REFORÇO
11/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
11/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
11/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
11/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
11/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
11/12/2024,BUSCA DE PERTENCE VIOLÊNCIA DOMÉSTICA,BUSCA DE PERTENCE VIOLÊNCIA DOMÉSTICA
11/12/2024,IMPORTUNAÇÃO OFENSIVA AO PUDOR,IMPORTUNAÇÃO OFENSIVA AO PUDOR
11/12/2024,AMEAÇA,AMEAÇA
11/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
11/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
11/12/2024,ESTELIONATO,ESTELIONATO
11/12/2024,FURTO,FURTO
11/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
11/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
11/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
11/12/2024,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA
11/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
11/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
12/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/12/2024,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA
12/12/2024,APOIO OU REFORÇO,APOIO OU REFORÇO
12/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
12/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
12/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
12/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
12/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
12/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
12/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
12/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
12/12/2024,VIAS DE FATO,VIAS DE FATO
12/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
12/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
12/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
12/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
12/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
12/12/2024,APOIO OU REFORÇO,APOIO OU REFORÇO
12/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
12/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
13/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
13/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
13/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
12/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
13/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
12/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
12/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
12/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
12/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
13/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
13/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
13/12/2024,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO
13/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
13/12/2024,MAUS-TRATOS A ANIMAIS,MAUS-TRATOS A ANIMAIS
13/12/2024,TRÁFICO DE DROGAS,TRÁFICO DE DROGAS
13/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
13/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
13/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
13/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
13/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
13/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
13/12/2024,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA
13/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
13/12/2024,APOIO OU REFORÇO,APOIO OU REFORÇO
13/12/2024,DESORDEM,DESORDEM
13/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
13/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
13/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
14/12/2024,APOIO OU REFORÇO,APOIO OU REFORÇO
13/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
13/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
14/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
14/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
14/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
14/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
14/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
14/12/2024,FURTO,FURTO
